satelite,municipio,estado,numero_dias_sem_chuva,precipitacao,bioma,frp
TERRA_M-M,CÂNDIDO RODRIGUES,SÃO PAULO,8.0,0.0,Cerrado,39.9
TERRA_M-M,JABORANDI,BAHIA,6.0,0.0,Cerrado,23.8
TERRA_M-M,BALSAS,MARANHÃO,5.0,0.0,Cerrado,7.6
GOES-19,JABORANDI,BAHIA,6.0,0.0,Cerrado,70.0
GOES-19,JABORANDI,BAHIA,6.0,0.0,Cerrado,70.8
GOES-19,OEIRAS,PIAUÍ,11.0,0.0,Caatinga,68.2
GOES-19,JABORANDI,BAHIA,6.0,0.0,Cerrado,62.0
NOAA-21,OEIRAS,PIAUÍ,12.0,0.0,Caatinga,11.0
NOAA-21,COUTO MAGALHÃES,TOCANTINS,4.0,5.26,Amazônia,1.3
NOAA-21,JABORANDI,BAHIA,6.0,0.0,Cerrado,2.8
NOAA-21,SEBASTIÃO BARROS,PIAUÍ,4.0,0.0,Cerrado,1.5
NOAA-21,JABORANDI,BAHIA,6.0,0.0,Cerrado,2.6
NOAA-21,JABORANDI,BAHIA,6.0,0.0,Cerrado,1.6
NOAA-21,SANTA RITA DE CÁSSIA,BAHIA,5.0,0.0,Cerrado,6.2
NOAA-21,JABORANDI,BAHIA,6.0,0.0,Cerrado,2.8
NOAA-21,JARDIM,MATO GROSSO DO SUL,0.0,0.0,Cerrado,7.0
NPP-375D,OEIRAS,PIAUÍ,12.0,0.0,Caatinga,2.2
NPP-375D,NAZARÉ DO PIAUÍ,PIAUÍ,12.0,0.0,Caatinga,2.4
NPP-375D,OEIRAS,PIAUÍ,12.0,0.0,Caatinga,2.0
NPP-375D,ITAPIRATINS,TOCANTINS,4.0,8.83,Cerrado,2.7
NPP-375D,SANTA RITA DE CÁSSIA,BAHIA,5.0,0.0,Cerrado,0.6
NPP-375D,DARCINÓPOLIS,TOCANTINS,4.0,1.92,Cerrado,2.2
NPP-375D,JABORANDI,BAHIA,6.0,0.0,Cerrado,1.6
NPP-375D,JABORANDI,BAHIA,6.0,0.0,Cerrado,1.9
NPP-375D,SANTA RITA DE CÁSSIA,BAHIA,5.0,0.0,Cerrado,3.1
NPP-375D,JABORANDI,BAHIA,6.0,0.0,Cerrado,2.2
NPP-375D,NOVA ANDRADINA,MATO GROSSO DO SUL,3.0,0.0,Cerrado,2.5
NOAA-20,CRISTÓPOLIS,BAHIA,5.0,0.0,Cerrado,1.4
NOAA-20,GAÚCHA DO NORTE,MATO GROSSO,10.0,0.0,Amazônia,1.5
NOAA-20,PAULO DE FARIA,SÃO PAULO,8.0,0.0,Mata Atlântica,2.1
NOAA-20,JARDIM,MATO GROSSO DO SUL,0.0,0.0,Cerrado,2.6
NOAA-20,ITAÍ,SÃO PAULO,2.0,1.02,Cerrado,3.1
NOAA-20,ITAÍ,SÃO PAULO,2.0,1.06,Cerrado,17.5
NOAA-20,NIOAQUE,MATO GROSSO DO SUL,0.0,0.0,Cerrado,1.2
AQUA_M-M,ITAÍ,SÃO PAULO,3.0,1.05,Cerrado,70.3
GOES-19,BAIXA GRANDE DO RIBEIRO,PIAUÍ,4.0,0.0,Cerrado,97.4
TERRA_M-T,GAÚCHA DO NORTE,MATO GROSSO,10.0,0.0,Amazônia,12.3
TERRA_M-T,COXIM,MATO GROSSO DO SUL,8.0,0.1,Cerrado,30.9
TERRA_M-T,ITIQUIRA,MATO GROSSO,8.0,0.1,Cerrado,7.1
GOES-19,FLORIANO,PIAUÍ,16.0,0.0,Caatinga,137.2
GOES-19,CAMPO GRANDE,MATO GROSSO DO SUL,5.0,0.0,Cerrado,132.4
NPP-375,BOQUEIRÃO,PARAÍBA,14.0,0.0,Caatinga,3.0
NOAA-20,JAÍBA,MINAS GERAIS,6.0,0.0,Cerrado,48.6
NOAA-20,MIRADOR,MARANHÃO,5.0,0.0,Cerrado,37.7
NOAA-20,BURITI BRAVO,MARANHÃO,5.0,0.0,Cerrado,4.6
NOAA-21,VIAMÃO,RIO GRANDE DO SUL,3.0,0.26,Pampa,3.2
NOAA-21,LAGES,SANTA CATARINA,2.0,5.83,Mata Atlântica,19.4
NOAA-21,TIMBÉ DO SUL,SANTA CATARINA,2.0,7.39,Mata Atlântica,7.0
NOAA-21,GUAMIRANGA,PARANÁ,2.0,1.82,Mata Atlântica,3.4
NOAA-21,ITAMBARACÁ,PARANÁ,7.0,0.5,Mata Atlântica,65.9
NOAA-21,PEDRA DO INDAIÁ,MINAS GERAIS,8.0,0.0,Mata Atlântica,13.8
NOAA-21,MATEIROS,TOCANTINS,4.0,0.23,Cerrado,82.2
NOAA-21,LAGOA DA CONFUSÃO,TOCANTINS,3.0,0.12,Cerrado,7.0
NOAA-21,PIUM,TOCANTINS,2.0,1.03,Cerrado,4.5
NOAA-21,SÃO FÉLIX DO TOCANTINS,TOCANTINS,4.0,0.35,Cerrado,7.6
NOAA-21,LAGOA DA CONFUSÃO,TOCANTINS,3.0,0.82,Cerrado,3.2
NOAA-21,MATEIROS,TOCANTINS,4.0,0.01,Cerrado,10.5
